source,orig_relpath,class_label,shipped_split,width,height,format,filesize_bytes,excluded,exclusion_reason,source_stem
roboflow_counterfeit_med_detection,roboflow\train\images4110_jpg.rf.a51e0991684677a14b9133060d820f1f.jpg,authentic,train,640,640,JPEG,86916,False,,images4110
roboflow_counterfeit_med_detection,roboflow\train\images239_jpg.rf.a540397ce79b45d1f9bb91b4662815e1.jpg,authentic,train,640,640,JPEG,41346,False,,images239
roboflow_counterfeit_med_detection,roboflow\train\images342_jpg.rf.a4eb8f802f5a983da235655539bb2cff.jpg,authentic,train,640,640,JPEG,21150,False,,images342
roboflow_counterfeit_med_detection,roboflow\train\images349_jpg.rf.a45a8680d4a5970bba93346bad1ed1b9.jpg,authentic,train,640,640,JPEG,42227,False,,images349
roboflow_counterfeit_med_detection,roboflow\train\images314_jpg.rf.a5086ebc5a1623d5efdbb3d7391d1649.jpg,authentic,train,640,640,JPEG,42167,False,,images314
roboflow_counterfeit_med_detection,roboflow\train\images5097_jpg.rf.a4df7443dac11baeb0b36b3965d6c94b.jpg,authentic,train,640,640,JPEG,30019,False,,images5097
roboflow_counterfeit_med_detection,roboflow\train\images36_jpg.rf.a48f22d8fdf91da130c454497de884ea.jpg,authentic,train,640,640,JPEG,33526,False,,images36
roboflow_counterfeit_med_detection,roboflow\train\images02_jpg.rf.a52f743680b9c9b5c64582a70139e3eb.jpg,authentic,train,640,640,JPEG,39366,False,,images02
roboflow_counterfeit_med_detection,roboflow\train\images15_jpg.rf.a490747ae66eb8b3075407a8c3ee1b9f.jpg,authentic,train,640,640,JPEG,30612,False,,images15
roboflow_counterfeit_med_detection,roboflow\train\images5034_jpg.rf.a49699cbfbc9b6b1d1173a59dfe2728b.jpg,authentic,train,640,640,JPEG,57902,False,,images5034
roboflow_counterfeit_med_detection,roboflow\train\images4060_jpg.rf.a4ce4bfe3ef3a874aa01866abc2132ab.jpg,authentic,train,640,640,JPEG,63328,False,,images4060
roboflow_counterfeit_med_detection,roboflow\train\images5041_jpg.rf.a526102f3fcdf9b3dba445669a264078.jpg,authentic,train,640,640,JPEG,78277,False,,images5041
roboflow_counterfeit_med_detection,roboflow\train\images4031_jpg.rf.a51b0a1065129520d6ad2cb49efb2d3e.jpg,authentic,train,640,640,JPEG,58907,False,,images4031
roboflow_counterfeit_med_detection,roboflow\train\images5032_jpg.rf.a51bdf9d50613304f305581f8151e894.jpg,authentic,train,640,640,JPEG,84528,False,,images5032
roboflow_counterfeit_med_detection,roboflow\train\images5044_jpg.rf.a505cbc20eb4cab11ffc39bd7b73f8bf.jpg,authentic,train,640,640,JPEG,60576,False,,images5044
roboflow_counterfeit_med_detection,roboflow\train\FDA-Advisory-No-2022-0611-24_png.rf.a54aeca3de86f9eeed22f1f8d555ea96.jpg,counterfeit,train,640,640,JPEG,51553,True,bulletin_graphic_with_baked_in_label_text,FDA-Advisory-No-2022-0611-24
roboflow_counterfeit_med_detection,roboflow\train\images5127_jpg.rf.a57bc5e91475e321b22f04c7e2059d5d.jpg,authentic,train,640,640,JPEG,48494,False,,images5127
roboflow_counterfeit_med_detection,roboflow\train\images5127_jpg.rf.a4fa2276745964ac01a537ba99b48b4f.jpg,authentic,train,640,640,JPEG,49806,False,,images5127
roboflow_counterfeit_med_detection,roboflow\train\images252_jpg.rf.a581a9434dc7cbfa7d9a6976b3bd8d44.jpg,authentic,train,640,640,JPEG,57522,False,,images252
roboflow_counterfeit_med_detection,roboflow\train\images4048_jpg.rf.a4c17d7c984bf7560dbfb1faed201c5e.jpg,authentic,train,640,640,JPEG,43260,False,,images4048
roboflow_counterfeit_med_detection,roboflow\train\images302_jpg.rf.a5558bea247c2d6babaa37fdd6ba7e64.jpg,authentic,train,640,640,JPEG,36302,False,,images302
roboflow_counterfeit_med_detection,roboflow\train\images264_jpg.rf.a57ce9bdca6feb2c39fa01b0372a38c6.jpg,authentic,train,640,640,JPEG,23881,False,,images264
roboflow_counterfeit_med_detection,roboflow\train\images351_jpg.rf.a47be2687a17ae7c12b66da50e3b3651.jpg,authentic,train,640,640,JPEG,36840,False,,images351
roboflow_counterfeit_med_detection,roboflow\train\images5085_jpg.rf.a552e5697b00220f2d64d6c836829b6a.jpg,authentic,train,640,640,JPEG,48868,False,,images5085
roboflow_counterfeit_med_detection,roboflow\train\images4040_jpg.rf.a5a603fc1817f8e46647741d1f94a0f1.jpg,authentic,train,640,640,JPEG,68496,False,,images4040
roboflow_counterfeit_med_detection,roboflow\train\2020-1348_33-1-_jpg.rf.a4d36fa10b3571a72a577caedcf65542.jpg,counterfeit,train,640,640,JPEG,57913,True,bulletin_graphic_with_baked_in_label_text,2020-1348_33-1-
roboflow_counterfeit_med_detection,roboflow\train\images323_jpg.rf.a5d43742007667bc9965f8edc4c1764a.jpg,authentic,train,640,640,JPEG,26513,False,,images323
roboflow_counterfeit_med_detection,roboflow\train\images23_jpg.rf.a4cc85b4859398e2a28fa6a107a1796c.jpg,authentic,train,640,640,JPEG,29288,False,,images23
roboflow_counterfeit_med_detection,roboflow\train\images4094_jpg.rf.a5b10555833d1873e1307b44e07bb382.jpg,authentic,train,640,640,JPEG,26150,False,,images4094
roboflow_counterfeit_med_detection,roboflow\train\images4081_jpg.rf.a5cd2836ac37680e83e0cbd1b966f659.jpg,authentic,train,640,640,JPEG,26736,False,,images4081
roboflow_counterfeit_med_detection,roboflow\train\images266_jpg.rf.a5e9885104ba4f7b06323b17e1e7ff23.jpg,authentic,train,640,640,JPEG,29043,False,,images266
roboflow_counterfeit_med_detection,roboflow\train\images4054_jpg.rf.a5eafa610705e6ce1ca5e8918701631f.jpg,authentic,train,640,640,JPEG,56598,False,,images4054
roboflow_counterfeit_med_detection,roboflow\train\images5090_jpg.rf.a5f568846e1e54f6cf42469bb31079cd.jpg,authentic,train,640,640,JPEG,33923,False,,images5090
roboflow_counterfeit_med_detection,roboflow\train\images210_jpg.rf.a5ef21a4c25edb110418abd2074edb02.jpg,authentic,train,640,640,JPEG,34110,False,,images210
roboflow_counterfeit_med_detection,roboflow\train\images257_jpg.rf.a6986385aa9b3885cc059a73cf729d28.jpg,authentic,train,640,640,JPEG,24845,False,,images257
roboflow_counterfeit_med_detection,roboflow\train\images4054_jpg.rf.a620a74484eab33ee9fdd9038d98d742.jpg,authentic,train,640,640,JPEG,64511,False,,images4054
roboflow_counterfeit_med_detection,roboflow\train\images210_jpg.rf.a630442f099713a0b8ff693c1b3020a6.jpg,authentic,train,640,640,JPEG,34852,False,,images210
roboflow_counterfeit_med_detection,roboflow\train\images4095_jpg.rf.a6be4d5c0aa28f3972d96c2e79ea5a72.jpg,authentic,train,640,640,JPEG,31203,False,,images4095
roboflow_counterfeit_med_detection,roboflow\train\images5045_jpg.rf.a6c8f1aac711e0a698c0fdbfc1fa6ceb.jpg,authentic,train,640,640,JPEG,43411,False,,images5045
roboflow_counterfeit_med_detection,roboflow\train\images08_jpg.rf.a66cb524410ddfbdd648f66f82911829.jpg,authentic,train,640,640,JPEG,61782,False,,images08
roboflow_counterfeit_med_detection,roboflow\train\images5112_jpg.rf.a64f5b2041b17283124fcdd51aa7325e.jpg,authentic,train,640,640,JPEG,45582,False,,images5112
roboflow_counterfeit_med_detection,roboflow\train\images5051_jpg.rf.a6be84a962a88aec51aa76578bbfb53f.jpg,authentic,train,640,640,JPEG,25359,False,,images5051
roboflow_counterfeit_med_detection,roboflow\train\images5052_jpg.rf.a69e81ca1951eb9ab6a098c00b3c17b8.jpg,authentic,train,640,640,JPEG,90510,False,,images5052
roboflow_counterfeit_med_detection,roboflow\train\images348_jpg.rf.a6c193d8d91f56ea8b3f3ad90ed7a96f.jpg,authentic,train,640,640,JPEG,33322,False,,images348
roboflow_counterfeit_med_detection,roboflow\train\images351_jpg.rf.a6e47e56db944d584f0ef198fa736d48.jpg,authentic,train,640,640,JPEG,45382,False,,images351
roboflow_counterfeit_med_detection,roboflow\train\images5097_jpg.rf.a6eaa300239181c9700b1fb1ab3c63b9.jpg,authentic,train,640,640,JPEG,32917,False,,images5097
roboflow_counterfeit_med_detection,roboflow\train\images212_jpg.rf.a6dd53a8c682d97defcdf8040bc88433.jpg,authentic,train,640,640,JPEG,32524,False,,images212
roboflow_counterfeit_med_detection,roboflow\train\images38_jpg.rf.a6c10d0b2e79affd3812f0f83e6c8dac.jpg,authentic,train,640,640,JPEG,36146,False,,images38
roboflow_counterfeit_med_detection,roboflow\train\images301_jpg.rf.a757fd75656aad57c32819faf7b0fbcf.jpg,authentic,train,640,640,JPEG,30896,False,,images301
roboflow_counterfeit_med_detection,roboflow\train\images349_jpg.rf.a75a26fa80bcee968ecd6f40b5ea2702.jpg,authentic,train,640,640,JPEG,45444,False,,images349
