image_id,orig_relpath,class_label,data_origin
mendeley_split_c_00000,mendeley_split_c/huawei_cn_(1).jpg,authentic,real_authentic
mendeley_split_c_00001,mendeley_split_c/huawei_cn_(100).jpg,authentic,real_authentic
mendeley_split_c_00002,mendeley_split_c/huawei_cn_(101).jpg,authentic,real_authentic
mendeley_split_c_00003,mendeley_split_c/huawei_cn_(102).jpg,authentic,real_authentic
mendeley_split_c_00004,mendeley_split_c/huawei_cn_(103).jpg,authentic,real_authentic
mendeley_split_c_00005,mendeley_split_c/huawei_cn_(104).jpg,authentic,real_authentic
mendeley_split_c_00006,mendeley_split_c/huawei_cn_(105).jpg,authentic,real_authentic
mendeley_split_c_00007,mendeley_split_c/huawei_cn_(106).jpg,authentic,real_authentic
mendeley_split_c_00008,mendeley_split_c/huawei_cn_(107).jpg,authentic,real_authentic
mendeley_split_c_00009,mendeley_split_c/huawei_cn_(108).jpg,authentic,real_authentic
mendeley_split_c_00010,mendeley_split_c/huawei_cn_(109).jpg,authentic,real_authentic
mendeley_split_c_00011,mendeley_split_c/huawei_cn_(11).jpg,authentic,real_authentic
mendeley_split_c_00012,mendeley_split_c/huawei_cn_(110).jpg,authentic,real_authentic
mendeley_split_c_00013,mendeley_split_c/huawei_cn_(111).jpg,authentic,real_authentic
mendeley_split_c_00014,mendeley_split_c/huawei_cn_(112).jpg,authentic,real_authentic
mendeley_split_c_00015,mendeley_split_c/huawei_cn_(113).jpg,authentic,real_authentic
mendeley_split_c_00016,mendeley_split_c/huawei_cn_(114).jpg,authentic,real_authentic
mendeley_split_c_00017,mendeley_split_c/huawei_cn_(115).jpg,authentic,real_authentic
mendeley_split_c_00018,mendeley_split_c/huawei_cn_(116).jpg,authentic,real_authentic
mendeley_split_c_00019,mendeley_split_c/huawei_cn_(117).jpg,authentic,real_authentic
mendeley_split_c_00020,mendeley_split_c/huawei_cn_(118).jpg,authentic,real_authentic
mendeley_split_c_00021,mendeley_split_c/huawei_cn_(119).jpg,authentic,real_authentic
mendeley_split_c_00022,mendeley_split_c/huawei_cn_(12).jpg,authentic,real_authentic
mendeley_split_c_00023,mendeley_split_c/huawei_cn_(120).jpg,authentic,real_authentic
mendeley_split_c_00024,mendeley_split_c/huawei_cn_(121).jpg,authentic,real_authentic
mendeley_split_c_00025,mendeley_split_c/huawei_cn_(122).jpg,authentic,real_authentic
mendeley_split_c_00026,mendeley_split_c/huawei_cn_(123).jpg,authentic,real_authentic
mendeley_split_c_00027,mendeley_split_c/huawei_cn_(124).jpg,authentic,real_authentic
mendeley_split_c_00028,mendeley_split_c/huawei_cn_(125).jpg,authentic,real_authentic
mendeley_split_c_00029,mendeley_split_c/huawei_cn_(126).jpg,authentic,real_authentic
mendeley_split_c_00030,mendeley_split_c/huawei_cn_(127).jpg,authentic,real_authentic
mendeley_split_c_00031,mendeley_split_c/huawei_cn_(128).jpg,authentic,real_authentic
mendeley_split_c_00032,mendeley_split_c/huawei_cn_(129).jpg,authentic,real_authentic
mendeley_split_c_00033,mendeley_split_c/huawei_cn_(13).jpg,authentic,real_authentic
mendeley_split_c_00034,mendeley_split_c/huawei_cn_(130).jpg,authentic,real_authentic
mendeley_split_c_00035,mendeley_split_c/huawei_cn_(131).jpg,authentic,real_authentic
mendeley_split_c_00036,mendeley_split_c/huawei_cn_(132).jpg,authentic,real_authentic
mendeley_split_c_00037,mendeley_split_c/huawei_cn_(133).jpg,authentic,real_authentic
mendeley_split_c_00038,mendeley_split_c/huawei_cn_(134).jpg,authentic,real_authentic
mendeley_split_c_00039,mendeley_split_c/huawei_cn_(135).jpg,authentic,real_authentic
mendeley_split_c_00040,mendeley_split_c/huawei_cn_(136).jpg,authentic,real_authentic
mendeley_split_c_00041,mendeley_split_c/huawei_cn_(137).jpg,authentic,real_authentic
mendeley_split_c_00042,mendeley_split_c/huawei_cn_(138).jpg,authentic,real_authentic
mendeley_split_c_00043,mendeley_split_c/huawei_cn_(14).jpg,authentic,real_authentic
mendeley_split_c_00044,mendeley_split_c/huawei_cn_(140).jpg,authentic,real_authentic
mendeley_split_c_00045,mendeley_split_c/huawei_cn_(141).jpg,authentic,real_authentic
mendeley_split_c_00046,mendeley_split_c/huawei_cn_(142).jpg,authentic,real_authentic
mendeley_split_c_00047,mendeley_split_c/huawei_cn_(143).jpg,authentic,real_authentic
mendeley_split_c_00048,mendeley_split_c/huawei_cn_(144).jpg,authentic,real_authentic
mendeley_split_c_00049,mendeley_split_c/huawei_cn_(145).jpg,authentic,real_authentic
mendeley_split_c_00050,mendeley_split_c/huawei_cn_(146).jpg,authentic,real_authentic
mendeley_split_c_00051,mendeley_split_c/huawei_cn_(147).jpg,authentic,real_authentic
mendeley_split_c_00052,mendeley_split_c/huawei_cn_(148).jpg,authentic,real_authentic
mendeley_split_c_00053,mendeley_split_c/huawei_cn_(149).jpg,authentic,real_authentic
mendeley_split_c_00054,mendeley_split_c/huawei_cn_(15).jpg,authentic,real_authentic
mendeley_split_c_00055,mendeley_split_c/huawei_cn_(150).jpg,authentic,real_authentic
mendeley_split_c_00056,mendeley_split_c/huawei_cn_(151).jpg,authentic,real_authentic
mendeley_split_c_00057,mendeley_split_c/huawei_cn_(153).jpg,authentic,real_authentic
mendeley_split_c_00058,mendeley_split_c/huawei_cn_(154).jpg,authentic,real_authentic
mendeley_split_c_00059,mendeley_split_c/huawei_cn_(155).jpg,authentic,real_authentic
mendeley_split_c_00060,mendeley_split_c/huawei_cn_(16).jpg,authentic,real_authentic
mendeley_split_c_00061,mendeley_split_c/huawei_cn_(160).jpg,authentic,real_authentic
mendeley_split_c_00062,mendeley_split_c/huawei_cn_(162).jpg,authentic,real_authentic
mendeley_split_c_00063,mendeley_split_c/huawei_cn_(18).jpg,authentic,real_authentic
mendeley_split_c_00064,mendeley_split_c/huawei_cn_(19).jpg,authentic,real_authentic
mendeley_split_c_00065,mendeley_split_c/huawei_cn_(2).jpg,authentic,real_authentic
mendeley_split_c_00066,mendeley_split_c/huawei_cn_(20).jpg,authentic,real_authentic
mendeley_split_c_00067,mendeley_split_c/huawei_cn_(21).jpg,authentic,real_authentic
mendeley_split_c_00068,mendeley_split_c/huawei_cn_(22).jpg,authentic,real_authentic
mendeley_split_c_00069,mendeley_split_c/huawei_cn_(23).jpg,authentic,real_authentic
mendeley_split_c_00070,mendeley_split_c/huawei_cn_(24).jpg,authentic,real_authentic
