source,orig_relpath,class_label,modality_guess,reviewer_modality,reviewer_notes
roboflow_counterfeit_med_detection,roboflow\train\images4110_jpg.rf.a51e0991684677a14b9133060d820f1f.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images239_jpg.rf.a540397ce79b45d1f9bb91b4662815e1.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images342_jpg.rf.a4eb8f802f5a983da235655539bb2cff.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images349_jpg.rf.a45a8680d4a5970bba93346bad1ed1b9.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images314_jpg.rf.a5086ebc5a1623d5efdbb3d7391d1649.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images5097_jpg.rf.a4df7443dac11baeb0b36b3965d6c94b.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images36_jpg.rf.a48f22d8fdf91da130c454497de884ea.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images02_jpg.rf.a52f743680b9c9b5c64582a70139e3eb.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images15_jpg.rf.a490747ae66eb8b3075407a8c3ee1b9f.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images5034_jpg.rf.a49699cbfbc9b6b1d1173a59dfe2728b.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images4060_jpg.rf.a4ce4bfe3ef3a874aa01866abc2132ab.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images5041_jpg.rf.a526102f3fcdf9b3dba445669a264078.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images4031_jpg.rf.a51b0a1065129520d6ad2cb49efb2d3e.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images5032_jpg.rf.a51bdf9d50613304f305581f8151e894.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images5044_jpg.rf.a505cbc20eb4cab11ffc39bd7b73f8bf.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images5127_jpg.rf.a57bc5e91475e321b22f04c7e2059d5d.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images5127_jpg.rf.a4fa2276745964ac01a537ba99b48b4f.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images252_jpg.rf.a581a9434dc7cbfa7d9a6976b3bd8d44.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images4048_jpg.rf.a4c17d7c984bf7560dbfb1faed201c5e.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images302_jpg.rf.a5558bea247c2d6babaa37fdd6ba7e64.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images264_jpg.rf.a57ce9bdca6feb2c39fa01b0372a38c6.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images351_jpg.rf.a47be2687a17ae7c12b66da50e3b3651.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images5085_jpg.rf.a552e5697b00220f2d64d6c836829b6a.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images4040_jpg.rf.a5a603fc1817f8e46647741d1f94a0f1.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images323_jpg.rf.a5d43742007667bc9965f8edc4c1764a.jpg,authentic,outer_packaging_or_product_photo,,
roboflow_counterfeit_med_detection,roboflow\train\images23_jpg.rf.a4cc85b4859398e2a28fa6a107a1796c.jpg,authentic,outer_packaging_or_product_photo,,
