source,orig_relpath,class_label,phash_canonical_hex,product_identity,cluster_size,is_exact_duplicate,exact_duplicate_of
roboflow_counterfeit_med_detection,roboflow\train\images4110_jpg.rf.a51e0991684677a14b9133060d820f1f.jpg,authentic,9782ea19ca4be974,pid_00000,19,False,
roboflow_counterfeit_med_detection,roboflow\train\images239_jpg.rf.a540397ce79b45d1f9bb91b4662815e1.jpg,authentic,bb6ac495c4c43bc6,pid_00001,22,False,
roboflow_counterfeit_med_detection,roboflow\train\images342_jpg.rf.a4eb8f802f5a983da235655539bb2cff.jpg,authentic,b424cf9b31cd64cc,pid_00002,25,False,
roboflow_counterfeit_med_detection,roboflow\train\images349_jpg.rf.a45a8680d4a5970bba93346bad1ed1b9.jpg,authentic,aa02d4c9fbb6b42a,pid_00003,1,False,
roboflow_counterfeit_med_detection,roboflow\train\images314_jpg.rf.a5086ebc5a1623d5efdbb3d7391d1649.jpg,authentic,86175243a6bdb9e8,pid_00004,5,False,
roboflow_counterfeit_med_detection,roboflow\train\images5097_jpg.rf.a4df7443dac11baeb0b36b3965d6c94b.jpg,authentic,bf27c099c0dbc0da,pid_00005,28,False,
roboflow_counterfeit_med_detection,roboflow\train\images36_jpg.rf.a48f22d8fdf91da130c454497de884ea.jpg,authentic,b1cbce34ce64ce30,pid_00006,37,False,
roboflow_counterfeit_med_detection,roboflow\train\images02_jpg.rf.a52f743680b9c9b5c64582a70139e3eb.jpg,authentic,a5c2d89bd821273f,pid_00007,14,False,
roboflow_counterfeit_med_detection,roboflow\train\images15_jpg.rf.a490747ae66eb8b3075407a8c3ee1b9f.jpg,authentic,ae06aded75608353,pid_00008,6,False,
roboflow_counterfeit_med_detection,roboflow\train\images5034_jpg.rf.a49699cbfbc9b6b1d1173a59dfe2728b.jpg,authentic,bec1c119c93ec366,pid_00009,19,False,
roboflow_counterfeit_med_detection,roboflow\train\images4060_jpg.rf.a4ce4bfe3ef3a874aa01866abc2132ab.jpg,authentic,aec5d190d52ad13e,pid_00010,56,False,
roboflow_counterfeit_med_detection,roboflow\train\images5041_jpg.rf.a526102f3fcdf9b3dba445669a264078.jpg,authentic,af6bd0f0c1f0d491,pid_00011,14,False,
roboflow_counterfeit_med_detection,roboflow\train\images4031_jpg.rf.a51b0a1065129520d6ad2cb49efb2d3e.jpg,authentic,bb2c8c9b84c6c79c,pid_00012,23,False,
roboflow_counterfeit_med_detection,roboflow\train\images5032_jpg.rf.a51bdf9d50613304f305581f8151e894.jpg,authentic,8b0bf411beb48fb0,pid_00013,19,False,
roboflow_counterfeit_med_detection,roboflow\train\images5044_jpg.rf.a505cbc20eb4cab11ffc39bd7b73f8bf.jpg,authentic,b54dcabac4993b44,pid_00014,19,False,
roboflow_counterfeit_med_detection,roboflow\train\images5127_jpg.rf.a57bc5e91475e321b22f04c7e2059d5d.jpg,authentic,bbccc433913363cc,pid_00015,12,False,
roboflow_counterfeit_med_detection,roboflow\train\images5127_jpg.rf.a4fa2276745964ac01a537ba99b48b4f.jpg,authentic,bbccc43b913363c4,pid_00015,12,False,
roboflow_counterfeit_med_detection,roboflow\train\images252_jpg.rf.a581a9434dc7cbfa7d9a6976b3bd8d44.jpg,authentic,9abfc5c8c492c5b2,pid_00016,10,False,
roboflow_counterfeit_med_detection,roboflow\train\images4048_jpg.rf.a4c17d7c984bf7560dbfb1faed201c5e.jpg,authentic,b16dcb9292c79a34,pid_00017,28,False,
roboflow_counterfeit_med_detection,roboflow\train\images302_jpg.rf.a5558bea247c2d6babaa37fdd6ba7e64.jpg,authentic,9da3e258a03d1f47,pid_00018,18,False,
roboflow_counterfeit_med_detection,roboflow\train\images264_jpg.rf.a57ce9bdca6feb2c39fa01b0372a38c6.jpg,authentic,b49ccb63c38d34c6,pid_00019,18,False,
roboflow_counterfeit_med_detection,roboflow\train\images351_jpg.rf.a47be2687a17ae7c12b66da50e3b3651.jpg,authentic,8f80fcb1fc71f084,pid_00020,25,False,
